Company,LTP,%CHANGE,VOLUME,BUY PRICE,SELL PRICE,BUY QTY,SELL QTY
Asian Paints,2628.65,-0.83,31420.0,2629.0,2645.0,200.0,55.0
Axis Bank,668.45,-1.94,338514.0,668.45,668.45,23.0,30.0
Bajaj Auto,3655.6,0.17,15011.0,3637.0,3655.6,50.0,34.0
Bajaj Finance,4873.2,-3.12,94925.0,4875.0,4890.0,6.0,14.0
Bajaj Finserv,9629.95,-0.27,9201.0,9601.0,9629.95,6.0,14.0
Bharti Airtel,545.35,0.44,329756.0,545.35,545.35,12.0,163.0
Dr Reddys Labs,4759.5,1.48,60061.0,4760.0,4774.0,20.0,45.0
HCL Tech,1044.95,0.72,171269.0,1043.0,1044.0,106.0,4.0
HDFC,2514.25,0.48,106228.0,2514.25,2517.65,205.0,5.0
HDFC Bank,1421.65,-0.83,572144.0,1423.0,1423.5,140.0,2.0
HUL,2475.95,2.51,63081.0,2465.0,2473.8,40.0,1.0
ICICI Bank,566.45,-1.79,834558.0,566.45,566.45,46.0,3.0
IndusInd Bank,923.9,-1.22,308043.0,923.9,923.9,6.0,1.0
Infosys,1440.75,0.07,308482.0,1440.75,1445.0,730.0,74.0
ITC,213.05,-0.05,489164.0,213.05,213.4,462.0,50.0
Kotak Mahindra,1799.15,0.75,116249.0,1793.1,1799.15,1.0,8.0
Larsen,1404.0,-1.06,57226.0,1405.0,1405.95,59.0,30.0
M&M,791.35,-0.44,76329.0,791.35,791.35,2.0,9.0
Maruti Suzuki,6830.05,0.16,46935.0,6827.0,6830.05,97.0,13.0
Nestle,17580.6,-0.8,2037.0,17520.0,17700.0,2.0,5.0
NTPC,102.75,-1.95,664405.0,102.75,103.2,762.0,320.0
ONGC,103.8,0.24,361678.0,103.8,103.8,113.0,489.0
Power Grid Corp,208.3,-0.33,212569.0,208.3,208.3,222.0,1.0
Reliance,1982.65,-1.11,241161.0,1982.65,1982.65,1.0,248.0
SBI,353.05,-0.72,2032207.0,353.05,353.05,244.0,4.0
Sun Pharma,636.95,3.69,886467.0,636.95,636.95,50.0,695.0
TCS,3322.2,0.17,98999.0,3322.2,3329.9,138.0,10.0
Tech Mahindra,1052.65,2.37,120849.0,1050.0,1052.65,4.0,665.0
Titan Company,1591.75,1.14,176768.0,1591.75,1591.75,1.0,2.0
UltraTechCement,6826.05,-2.16,24576.0,6817.0,6826.05,1.0,3.0
